id_match,home_team,hometeam_name,home_score,away_team,awayteam_name,away_score,round,played,qualified
"M010-GW6","aminE","boعo","","siooon","jaafar","","GW6",0,""
"M010-GW7","Achraf__34","achraf","","IPL SBOBO","IPL SBOBO","","GW7",0,""
"M010-GW8","Amiiine1","3ziii noobe","","brennmytt ","IMRAN","","GW8",0,""
"M011-GW1","Soltero11","Hajjaj Belhaj","","Lmziyer ","Mjinina","","GW1",0,""
"M011-GW2","SAMLALI ","Fcb","","Lpata lm3wne","Lpata lm3awne","","GW2",0,""
"M011-GW3","AyoubVe","Fc barcelona","","Hbibo reda","Lmohmadia","","GW3",0,""
"M011-GW4","KAIDO MORRI","F PES ANA SULTAN","","LBEHJAWI ","LBEHJAWI CB06","","GW4",0,""
"M011-GW5","jadenworld","dark passenger ","","siooon","jaafar","","GW5",0,""
"M011-GW6","3ewhhhh","Calama","","IPL SBOBO","IPL SBOBO","","GW6",0,""
"M011-GW7","aminE","boعo","","brennmytt ","IMRAN","","GW7",0,""
"M011-GW8","Achraf__34","achraf","","Fc ilvess","Ilvess","","GW8",0,""
"M012-GW1","Moncef ","HARAMBALL","","Lpata lm3wne","Lpata lm3awne","","GW1",0,""
"M012-GW2","Soltero11","Hajjaj Belhaj","","Hbibo reda","Lmohmadia","","GW2",0,""
"M012-GW3","SAMLALI ","Fcb","","LBEHJAWI ","LBEHJAWI CB06","","GW3",0,""
"M012-GW4","AyoubVe","Fc barcelona","","siooon","jaafar","","GW4",0,""
"M012-GW5","KAIDO MORRI","F PES ANA SULTAN","","IPL SBOBO","IPL SBOBO","","GW5",0,""
"M012-GW6","jadenworld","dark passenger ","","brennmytt ","IMRAN","","GW6",0,""
"M012-GW7","3ewhhhh","Calama","","Fc ilvess","Ilvess","","GW7",0,""
"M012-GW8","aminE","boعo","","Hytaaam","Hytaaam","","GW8",0,""
"M013-GW1","Amine11","Hdhauisiks","","Hbibo reda","Lmohmadia","","GW1",0,""
"M013-GW2","Moncef ","HARAMBALL","","LBEHJAWI ","LBEHJAWI CB06","","GW2",0,""
"M013-GW3","Soltero11","Hajjaj Belhaj","","siooon","jaafar","","GW3",0,""
"M013-GW4","SAMLALI ","Fcb","","IPL SBOBO","IPL SBOBO","","GW4",0,""
"M013-GW5","AyoubVe","Fc barcelona","","brennmytt ","IMRAN","","GW5",0,""
"M013-GW6","KAIDO MORRI","F PES ANA SULTAN","","Fc ilvess","Ilvess","","GW6",0,""
"M013-GW7","jadenworld","dark passenger ","","Hytaaam","Hytaaam","","GW7",0,""
"M013-GW8","3ewhhhh","Calama","","Amine11","Hdhauisiks","","GW8",0,""
"M014-GW1","Hytaaam","Hytaaam","","LBEHJAWI ","LBEHJAWI CB06","","GW1",0,""
"M014-GW2","Amine11","Hdhauisiks","","siooon","jaafar","","GW2",0,""
"M014-GW3","Moncef ","HARAMBALL","","IPL SBOBO","IPL SBOBO","","GW3",0,""
"M014-GW4","Soltero11","Hajjaj Belhaj","","brennmytt ","IMRAN","","GW4",0,""
"M014-GW5","SAMLALI ","Fcb","","Fc ilvess","Ilvess","","GW5",0,""
"M014-GW6","AyoubVe","Fc barcelona","","Hytaaam","Hytaaam","","GW6",0,""
"M014-GW7","KAIDO MORRI","F PES ANA SULTAN","","Amine11","Hdhauisiks","","GW7",0,""
"M014-GW8","jadenworld","dark passenger ","","Moncef ","HARAMBALL","","GW8",0,""
"M015-GW1","Fc ilvess","Ilvess","","siooon","jaafar","","GW1",0,""
"M015-GW2","Hytaaam","Hytaaam","","IPL SBOBO","IPL SBOBO","","GW2",0,""
"M015-GW3","Amine11","Hdhauisiks","","brennmytt ","IMRAN","","GW3",0,""
"M015-GW4","Moncef ","HARAMBALL","","Fc ilvess","Ilvess","","GW4",0,""
